Kids_First_Biospecimen_ID	cluster	ecotype
BS_FX2P2WEG	1	Immune-active
BS_FXJY0MNH	1	Immune-active
BS_FYP2B298	2	Immune-desert
BS_G19QZG4S	1	Immune-active
BS_G1E5DATJ	1	Immune-active
BS_G257VSS9	2	Immune-desert
BS_G3NN392N	1	Immune-active
BS_G3RJTBZD	2	Immune-desert
BS_G5NHSFD4	2	Immune-desert
BS_G8TXTX0H	2	Immune-desert
BS_GG9W3J9Y	2	Immune-desert
BS_GW0GKWMS	2	Immune-desert
BS_GWHYM3R4	2	Immune-desert
BS_GWSJ4Z9H	1	Immune-active
BS_H5VQJR7X	1	Immune-active
BS_H97S5SQN	1	Immune-active
BS_H9JYKFTV	2	Immune-desert
BS_HDHXX8Q7	2	Immune-desert
BS_HDPCQETG	1	Immune-active
BS_HJRTC9JQ	1	Immune-active
BS_HJV0J603	1	Immune-active
BS_HRJ9145M	1	Immune-active
BS_HWGWYCY7	1	Immune-active
BS_HZ9AYDCQ	1	Immune-active
BS_J4JY2F3H	1	Immune-active
BS_J6212Y48	2	Immune-desert
BS_J6W1RB7A	1	Immune-active
BS_J9CBGP57	2	Immune-desert
BS_JB43XBCQ	1	Immune-active
BS_JDSNFYQ0	1	Immune-active
BS_JJVH7WR0	2	Immune-desert
BS_JMD386Z2	1	Immune-active
BS_JP95KMRD	1	Immune-active
BS_JQGJQ2QZ	1	Immune-active
BS_JQVAWTTM	1	Immune-active
BS_JQXHHK0K	2	Immune-desert
BS_JRYJGYC4	1	Immune-active
BS_JS95PE0J	1	Immune-active
BS_JTWNJ8T7	2	Immune-desert
BS_JVW2JJ39	2	Immune-desert
BS_K0X3PZGN	1	Immune-active
BS_K17VQECG	1	Immune-active
BS_K2PCC777	1	Immune-active
BS_K74N1BXQ	1	Immune-active
BS_K81PZXP2	1	Immune-active
BS_K88T8SW7	1	Immune-active
BS_KABQQA0T	2	Immune-desert
BS_KBEX4RT2	2	Immune-desert
BS_KFD5128N	2	Immune-desert
BS_KKDTW11T	2	Immune-desert
BS_KP735TJ6	2	Immune-desert
BS_KQ6ZW085	2	Immune-desert
BS_KRS4EV4X	2	Immune-desert
BS_KS8HMGA6	1	Immune-active
BS_KVPWHDR4	1	Immune-active
BS_M0FA190Y	1	Immune-active
BS_M0XGZ53Z	2	Immune-desert
BS_M1PVEHCM	2	Immune-desert
BS_M54TWTH4	1	Immune-active
BS_M7XB258E	1	Immune-active
BS_M85CXHDV	1	Immune-active
BS_MB7WN0ZB	1	Immune-active
BS_MD0937XT	2	Immune-desert
BS_MDBT7S5Z	2	Immune-desert
BS_ME6VQGG4	2	Immune-desert
BS_MFGZH8FK	2	Immune-desert
BS_MG78HQDM	2	Immune-desert
BS_MWWZBQ60	2	Immune-desert
BS_N6TQBQ8M	2	Immune-desert
BS_N7SW36FD	1	Immune-active
BS_N7VQ1GQB	1	Immune-active
BS_NB9XXBW6	2	Immune-desert
BS_NEFAASTR	1	Immune-active
BS_NEVYM2FP	2	Immune-desert
BS_NFKKDYSV	1	Immune-active
BS_NGSG2KB6	1	Immune-active
BS_NNYXMSTX	1	Immune-active
BS_NPA6CZQF	2	Immune-desert
BS_NQ54ST98	1	Immune-active
BS_NR3P3GN2	1	Immune-active
BS_NX1R0BC3	1	Immune-active
BS_P0QF87WC	1	Immune-active
BS_P4PMWFMV	2	Immune-desert
BS_P7W3AYKV	1	Immune-active
BS_PENM28KT	2	Immune-desert
BS_PJC6FH4Y	1	Immune-active
BS_PS0P3QJ3	2	Immune-desert
BS_PXCPK5XS	1	Immune-active
BS_PZVHMSYN	2	Immune-desert
BS_Q06J3RYW	1	Immune-active
BS_Q35GFYDR	2	Immune-desert
BS_Q9N5PRD5	2	Immune-desert
BS_QB84TBA3	2	Immune-desert
BS_QGKEP3KB	1	Immune-active
BS_QH0VYVJK	1	Immune-active
BS_QHY302E8	1	Immune-active
BS_QMBS32Y2	2	Immune-desert
BS_QNNX91SM	2	Immune-desert
BS_QY2G1JZJ	1	Immune-active
BS_QYA4TQXX	2	Immune-desert
BS_R5JQE0VJ	2	Immune-desert
BS_R5SNFB5B	2	Immune-desert
BS_R9B92M75	1	Immune-active
BS_RHAWQJ48	1	Immune-active
BS_RHM60031	1	Immune-active
BS_RJC3WDD6	2	Immune-desert
BS_RN0VAY51	1	Immune-active
BS_RX1YTZ7F	2	Immune-desert
BS_RZBFH1QF	2	Immune-desert
BS_S2TA8R29	1	Immune-active
BS_S3C2PZAH	1	Immune-active
BS_S3MET0JZ	2	Immune-desert
BS_S4V9E1XJ	1	Immune-active
BS_S5P8VTN5	1	Immune-active
BS_S6B9DVNS	2	Immune-desert
BS_S6S7SK3P	2	Immune-desert
BS_S8K878T3	1	Immune-active
BS_SBMAM00V	2	Immune-desert
BS_SBMCD7XZ	1	Immune-active
BS_SD0EMK7Y	1	Immune-active
BS_SD8YBRBR	2	Immune-desert
BS_SERDGASJ	1	Immune-active
BS_SJVTZ5TH	2	Immune-desert
BS_SMWQR2F1	2	Immune-desert
BS_SNVM7CZT	1	Immune-active
BS_SR2RGDXJ	1	Immune-active
BS_SW9Z10F9	1	Immune-active
BS_SY3J3XR9	2	Immune-desert
BS_T1YHK6B7	2	Immune-desert
BS_T2F48Z4E	1	Immune-active
BS_T9A8JJW5	2	Immune-desert
BS_TASG32Z2	2	Immune-desert
BS_TGS109T3	2	Immune-desert
BS_TM9MH0RP	1	Immune-active
BS_TR2P8KRF	2	Immune-desert
BS_TRKH2SPE	2	Immune-desert
BS_TRPXB3AV	2	Immune-desert
BS_TTDNZTZ0	1	Immune-active
BS_TTE04ZP8	1	Immune-active
BS_TV5B86ZD	2	Immune-desert
BS_TVH33J9Q	2	Immune-desert
BS_TXZ7KHTQ	2	Immune-desert
BS_V0DQFC75	2	Immune-desert
BS_V3Z3DB4N	2	Immune-desert
BS_V558NW3Q	1	Immune-active
BS_V6RSB5HQ	2	Immune-desert
BS_V8QWBVS3	1	Immune-active
BS_VBMRQK4F	1	Immune-active
BS_VDFXXMEX	2	Immune-desert
BS_VF3NVT4G	1	Immune-active
BS_VKH87DD2	1	Immune-active
BS_VKHJG2B8	1	Immune-active
BS_VKYEM67A	1	Immune-active
BS_VMQMGSJY	1	Immune-active
BS_VVTHDRBD	2	Immune-desert
BS_W1385R8Y	2	Immune-desert
BS_W4DB5RP1	2	Immune-desert
BS_W7MFJZ5A	1	Immune-active
BS_WBVSK3MP	2	Immune-desert
BS_WEKK6SHP	2	Immune-desert
BS_WHBEXD5H	1	Immune-active
BS_WQ1YRTAT	2	Immune-desert
BS_WTJEDTZC	1	Immune-active
BS_WVRX4C9Z	1	Immune-active
BS_X0XXN9BK	1	Immune-active
BS_X1G0TKP4	1	Immune-active
BS_X20JCR4H	1	Immune-active
BS_X23724NJ	1	Immune-active
BS_X3HR4Z21	1	Immune-active
BS_X4DD4KSZ	1	Immune-active
BS_X4X1SFSE	2	Immune-desert
BS_XG0DBWVT	2	Immune-desert
BS_XGDPK33A	2	Immune-desert
BS_XM1AHBDJ	2	Immune-desert
BS_XQ5SFW35	1	Immune-active
BS_XQXXBWPD	1	Immune-active
BS_XYVCMF4A	2	Immune-desert
BS_XZM79E42	1	Immune-active
BS_YA0KMBRT	2	Immune-desert
BS_YDEVMD24	2	Immune-desert
BS_YMKQT5V0	1	Immune-active
BS_YR12D1ZY	1	Immune-active
BS_YSZRQ95C	1	Immune-active
BS_YTWEM5SG	1	Immune-active
BS_YZ2QFDAN	2	Immune-desert
BS_Z0ZPD9S9	1	Immune-active
BS_Z3RCA1T9	1	Immune-active
BS_Z8F3GM85	1	Immune-active
BS_ZD5HN296	1	Immune-active
BS_ZF6BSFNF	1	Immune-active
BS_ZM97KKXE	1	Immune-active
BS_ZV1P6W9C	2	Immune-desert
BS_ZVM8CAB0	1	Immune-active
BS_ZZWMD6FA	1	Immune-active
